Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
abalon,RotationForest,1,"{'max_depth': 7, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 56, 'n_features_per_subset': 2}",0.783094099,0.671781276,0.161758418,0.674477201,0.84920176,0.727585937,0.388879538,0.136257411
abalon,RotationForest,2,"{'max_depth': 7, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 74, 'n_features_per_subset': 4}",0.783094099,0.672491237,0.161785868,0.679964172,0.838392648,0.715500951,0.366220236,0.138836974
abalon,RotationForest,3,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 6, 'n_estimators': 42, 'n_features_per_subset': 2}",0.767145136,0.647821947,0.173998484,0.651519452,0.83805046,0.713028797,0.341088057,0.121821402
abalon,RotationForest,4,"{'max_depth': 127, 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 73, 'n_features_per_subset': 3}",0.752791069,0.625935066,0.184818391,0.632233865,0.822499711,0.692233879,0.477748394,0.121957815
abalon,RotationForest,5,"{'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 69, 'n_features_per_subset': 3}",0.794258373,0.689408867,0.153765709,0.689485927,0.865715478,0.763483221,0.365518808,0.13628164
abalon,RotationForest,6,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 47, 'n_features_per_subset': 2}",0.770334928,0.652981592,0.171596072,0.655167721,0.826777234,0.693443689,0.366221189,0.139965383
abalon,RotationForest,7,"{'max_depth': None, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 80, 'n_features_per_subset': 3}",0.757575758,0.633177772,0.181562234,0.632227289,0.841915145,0.722563527,0.493123055,0.136001683
abalon,RotationForest,8,"{'max_depth': 7, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 72, 'n_features_per_subset': 6}",0.784172662,0.672272369,0.161531476,0.671933671,0.855990604,0.745991685,0.398240805,0.140027566
abalon,RotationForest,9,"{'max_depth': 7, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 61, 'n_features_per_subset': 3}",0.779376499,0.666675621,0.16460242,0.66987129,0.847388945,0.737797803,0.386118889,0.120486457
abalon,RotationForest,10,"{'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 41, 'n_features_per_subset': 3}",0.749000799,0.620813633,0.187237603,0.628094921,0.81432432,0.669700753,0.381903172,0.119032458
